sortKey,city,state,country,name,typeSlug,distanceSlugs,providerSlug,detailUrl
2026-01-25T12:00,São Paulo,SP,Brasil,19ª Meia Maratona Intl de São Paulo,road,,yescom,https://www.yescom.com.br/meiasp/2026/index.asp
2026-03-08T12:00,São Paulo,SP,Brasil,30ª Corrida Mulher-Maravilha São Paulo,road,,yescom,https://yescom.com.br/corridamulhermaravilha/2026/sp/index.asp
2026-03-29T12:00,Rio de Janeiro,RJ,Brasil,32ª Corrida Mulher-Maravilha Rio de Janeiro,road,,yescom,https://yescom.com.br/corridamulhermaravilha/2026/rj/index.asp
2026-04-09T12:00,São Paulo,SP,Brasil,Expo Atleta 30ª Maratona Intl de São Paulo,road,,yescom,https://www.yescom.com.br/maratonasp/2026/index.asp
2026-04-11T12:00,São Paulo,SP,Brasil,Maratoninha de São Paulo,road,,yescom,https://www.yescom.com.br/maratoninha/2026/index.asp
2026-04-12T12:00,Camboriú,SC,Brasil,GV LIFE RUN GREEN VALLEY,road,5km;10km,corre-brasil,https://www.guicheweb.com.br/gv-life-run-inscricao_47656
2026-04-19T03:00,Natal,RN,Brasil,Circuito das Estações 2026 - Outono - Natal,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-outono-natal
2026-04-25T12:00,Balneário Camboriú,SC,Brasil,MEIA MARATONA INTERNACIONAL DE BALNEÁRIO CAMBORIÚ,road,5km,corre-brasil,https://www.correbrasil.com.br/meiadebc2026
2026-04-26T03:00,Manaus,AM,Brasil,Circuito das Estações - Outono 2026 - Manaus,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-outono-2026-manaus
2026-04-26T06:00,São Paulo,SP,Brasil,Seven Run 2026,road,7km;14km;21-1km;28km,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/seven-run-2026
2026-04-26T13:00,Curitiba,PR,Brasil,Circuito das Estações 2026 - Outono - Curitiba,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-outono-curitiba
2026-04-26T13:21,Brasilia,DF,Brasil,Circuito da Longevidade Bradesco Seguros - 2026 - Brasília,road,5km;10km,running-land,https://www.runningland.com.br/eventos/longevidade-bradesco-brasilia-2026
